# epoch,test_loss
1.000000000000000000e+00,1.326270082261827383e+02
2.000000000000000000e+00,9.956940205891926610e+01
3.000000000000000000e+00,8.819697740342881787e+01
4.000000000000000000e+00,8.076166873508029198e+01
5.000000000000000000e+00,7.664667595757379104e+01
6.000000000000000000e+00,7.448029157850477588e+01
7.000000000000000000e+00,7.238218688964843750e+01
8.000000000000000000e+00,7.129670672946505761e+01
9.000000000000000000e+00,7.026961983574761916e+01
1.000000000000000000e+01,6.948457336425781250e+01
1.100000000000000000e+01,6.904589801364474511e+01
1.200000000000000000e+01,6.844159062703450047e+01
1.300000000000000000e+01,6.790967602199978614e+01
1.400000000000000000e+01,6.746149783664279198e+01
1.500000000000000000e+01,6.720931794908311474e+01
1.600000000000000000e+01,6.710373730129666114e+01
1.700000000000000000e+01,6.686089028252496291e+01
1.800000000000000000e+01,6.661618677775065578e+01
1.900000000000000000e+01,6.636315239800347854e+01
2.000000000000000000e+01,6.622989400227864110e+01
2.100000000000000000e+01,6.610813903808593750e+01
2.200000000000000000e+01,6.593222342597113084e+01
2.300000000000000000e+01,6.583455657958984375e+01
2.400000000000000000e+01,6.578533426920573390e+01
2.500000000000000000e+01,6.567634497748480271e+01
2.600000000000000000e+01,6.555490366617839015e+01
2.700000000000000000e+01,6.561522462632920849e+01
2.800000000000000000e+01,6.548612043592665088e+01
2.900000000000000000e+01,6.541841040717230271e+01
3.000000000000000000e+01,6.533559672037760890e+01
3.100000000000000000e+01,6.530589463975694287e+01
3.200000000000000000e+01,6.522157584296331834e+01
3.300000000000000000e+01,6.512803437974717724e+01
3.400000000000000000e+01,6.507047949896917771e+01
3.500000000000000000e+01,6.515214623345269729e+01
3.600000000000000000e+01,6.514765082465277146e+01
3.700000000000000000e+01,6.745746358235676610e+01
3.800000000000000000e+01,7.177984534369574021e+01
3.900000000000000000e+01,6.944694942898220802e+01
4.000000000000000000e+01,6.732033454047308396e+01
4.100000000000000000e+01,6.636537763807508838e+01
4.200000000000000000e+01,6.572706392076280224e+01
4.300000000000000000e+01,6.505126147800021386e+01
4.400000000000000000e+01,6.497794723510742188e+01
4.500000000000000000e+01,6.534475919935438526e+01
4.600000000000000000e+01,6.538902155558268703e+01
4.700000000000000000e+01,6.509472613864474511e+01
4.800000000000000000e+01,6.469775984022352588e+01
4.900000000000000000e+01,6.469632339477539062e+01
5.000000000000000000e+01,6.464915042453341698e+01
5.100000000000000000e+01,6.455959489610459912e+01
5.200000000000000000e+01,6.452391857571072364e+01
5.300000000000000000e+01,6.448683590359158302e+01
5.400000000000000000e+01,6.458899264865451073e+01
5.500000000000000000e+01,6.455688518948025489e+01
5.600000000000000000e+01,6.453437508477105666e+01
5.700000000000000000e+01,6.449691221449110401e+01
5.800000000000000000e+01,6.451864327324761916e+01
5.900000000000000000e+01,6.449692577785916114e+01
6.000000000000000000e+01,6.465444140964083886e+01
6.100000000000000000e+01,6.457377709282769729e+01
6.200000000000000000e+01,6.454124704996745265e+01
6.300000000000000000e+01,6.452170562744140625e+01
6.400000000000000000e+01,6.453195699055989110e+01
6.500000000000000000e+01,6.459158494737413037e+01
6.600000000000000000e+01,6.458354017469618213e+01
6.700000000000000000e+01,6.449672826131184422e+01
6.800000000000000000e+01,6.451377105712890625e+01
6.900000000000000000e+01,6.450398000081379735e+01
7.000000000000000000e+01,6.443905046251084912e+01
7.100000000000000000e+01,6.457819535997178662e+01
7.200000000000000000e+01,6.453739378187391651e+01
7.300000000000000000e+01,6.467571258544921875e+01
7.400000000000000000e+01,6.468720330132379104e+01
7.500000000000000000e+01,6.463736640082464646e+01
7.600000000000000000e+01,6.463499450683593750e+01
7.700000000000000000e+01,6.457500627305772412e+01
7.800000000000000000e+01,6.463203514946832229e+01
7.900000000000000000e+01,6.457506561279296875e+01
8.000000000000000000e+01,6.466914028591580177e+01
8.100000000000000000e+01,6.464946831597222854e+01
8.200000000000000000e+01,6.485329861111111427e+01
8.300000000000000000e+01,6.472144063313801610e+01
8.400000000000000000e+01,6.484089533487956203e+01
8.500000000000000000e+01,6.469905726114909328e+01
8.600000000000000000e+01,6.466092681884765625e+01
8.700000000000000000e+01,6.473157119750976562e+01
8.800000000000000000e+01,6.469867197672526515e+01
8.900000000000000000e+01,6.475774637858073390e+01
9.000000000000000000e+01,6.471942774454753078e+01
9.100000000000000000e+01,6.468957604302300979e+01
9.200000000000000000e+01,6.475781631469726562e+01
9.300000000000000000e+01,6.469334369235568261e+01
9.400000000000000000e+01,6.471437666151258838e+01
9.500000000000000000e+01,6.481830893622503709e+01
9.600000000000000000e+01,6.476835886637370265e+01
9.700000000000000000e+01,6.478371090359158302e+01
9.800000000000000000e+01,6.487338892618815578e+01
9.900000000000000000e+01,6.494264687432183791e+01
1.000000000000000000e+02,6.498139529758029198e+01
