# epoch,test_loss
1.000000000000000000e+00,1.299444902208116446e+02
2.000000000000000000e+00,1.012389611138237910e+02
3.000000000000000000e+00,8.653348710801866162e+01
4.000000000000000000e+00,8.068688710530598485e+01
5.000000000000000000e+00,7.740482330322265625e+01
6.000000000000000000e+00,7.470196872287326073e+01
7.000000000000000000e+00,7.298592800564236427e+01
8.000000000000000000e+00,7.151948462592230271e+01
9.000000000000000000e+00,7.055743238661024463e+01
1.000000000000000000e+01,6.978563732571072364e+01
