Epoch,Test Loss,Auxiliary Loss
1,129.60025956895618,1388.19970703125
2,98.98429531521268,1388.19970703125
3,86.04982248942058,1388.19970703125
4,80.6652103000217,1388.19970703125
5,76.50764634874132,1388.19970703125
6,74.75230746799045,1388.19970703125
7,72.42769368489583,1388.19970703125
8,71.67472500271268,1388.19970703125
9,70.42535654703777,1388.19970703125
10,69.5346811082628,1388.19970703125
11,69.05071512858073,395.80029296875
12,68.7959493001302,395.80029296875
13,68.21074506971571,395.80029296875
14,67.78929858737521,395.80029296875
15,67.53335825602214,395.80029296875
16,67.2091704474555,395.80029296875
17,66.98835627237956,395.80029296875
18,66.8734525044759,395.80029296875
19,66.91458087497287,395.80029296875
20,66.55577341715495,395.80029296875
21,66.37598927815755,145.1543731689453
22,66.1843524509006,145.1543731689453
23,66.00866190592448,145.1543731689453
24,65.6939574347602,145.1543731689453
25,65.7358758714464,145.1543731689453
26,65.73199717203777,145.1543731689453
27,65.62862311469183,145.1543731689453
28,65.55188581678603,145.1543731689453
29,65.4349988301595,145.1543731689453
30,65.31056891547308,145.1543731689453
31,65.17285071478949,1916.821044921875
32,65.2186631096734,1916.821044921875
33,65.03665076361762,1916.821044921875
34,65.06498718261719,1916.821044921875
35,65.02537070380316,1916.821044921875
36,65.02610100640192,1916.821044921875
37,64.92328601413303,1916.821044921875
38,64.88566886054144,1916.821044921875
39,64.82434209187825,1916.821044921875
40,64.80064900716145,1916.821044921875
41,64.76137415568034,1225.968994140625
42,64.97734790378146,1225.968994140625
43,65.00119103325738,1225.968994140625
44,64.95059288872613,1225.968994140625
45,64.78037304348416,1225.968994140625
46,64.729738023546,1225.968994140625
47,64.72638024224176,1225.968994140625
48,64.74440256754558,1225.968994140625
49,64.7722430759006,1225.968994140625
50,64.76167170206706,1225.968994140625
51,64.7514411078559,495.0711669921875
52,64.87071948581271,495.0711669921875
53,64.7987043592665,495.0711669921875
54,64.84456125895183,495.0711669921875
55,64.88627582126193,495.0711669921875
56,65.3496559990777,495.0711669921875
57,65.10584598117404,495.0711669921875
58,65.08433193630643,495.0711669921875
59,64.96264521280925,495.0711669921875
60,64.93003972371419,495.0711669921875
61,64.89559597439236,531.3782958984375
62,64.82333289252387,531.3782958984375
63,64.8944820827908,531.3782958984375
64,64.85805087619357,531.3782958984375
65,64.7881596883138,531.3782958984375
66,64.94835408528645,531.3782958984375
67,64.85060797797308,531.3782958984375
68,64.87899653116862,531.3782958984375
69,64.88474358452692,531.3782958984375
70,64.82238472832574,531.3782958984375
71,64.80608791775174,3811.58203125
72,64.88295194837782,3811.58203125
73,64.91893174913194,3811.58203125
74,64.92193518744574,3811.58203125
75,64.90358649359808,3811.58203125
76,64.92542224460178,3811.58203125
77,64.9256608751085,3811.58203125
78,64.92649544609918,3811.58203125
79,64.88312445746527,3811.58203125
80,64.9122780693902,3811.58203125
81,64.96393330891927,438.4137268066406
82,64.94543117947049,438.4137268066406
83,65.02373674180772,438.4137268066406
84,64.93260701497395,438.4137268066406
85,64.9379620022244,438.4137268066406
86,65.01635699801975,438.4137268066406
87,65.00655534532335,438.4137268066406
88,65.01658291286893,438.4137268066406
89,65.04119237263997,438.4137268066406
90,65.05085966322157,438.4137268066406
91,65.1502202351888,2950.132568359375
92,65.07258394029405,2950.132568359375
93,65.16772079467773,2950.132568359375
94,65.14027828640408,2950.132568359375
95,65.13249333699544,2950.132568359375
96,65.10156038072374,2950.132568359375
97,65.12238226996527,2950.132568359375
98,65.11263910929362,2950.132568359375
99,65.14852650960286,2950.132568359375
100,65.41749827067058,2950.132568359375
